id,archive_sha256,source_files,source_bytes,reference_path_files,optimized_path_files,additional_path_files,avx_path_files,arm_path_files,nested_rar
sign-01,88242576a3ae8f9d090b0c9045020f04ee9b5ae828e01b839f25267959e9c7ea,621,6424962,171,279,312,138,312,0
sign-02,698fbe834279a4100a66c20f3e0b634c738e1150936acf74b55efc6db6975e8d,231,1567385,102,129,0,129,0,0
sign-03,a31de849cf0a0703a4e57decbdf4d97b100d00dc74756feaded2c04a7593e110,632,1979228,280,352,0,24,0,0
sign-04,b90559ca94bda0130420f91fa52eeb242063a57188c766037c1b234ec3af563b,528,1703704,264,264,0,0,0,0
sign-05,4d31ba3fe8718f59901b7efdf01b4179912ef8e04f58b4b6dbba84186f002283,1424,10939807,677,747,0,0,0,0
sign-06,ce88066506fe9b58c300b3ca51462c7a8350484d88ad5b8a9c9f17b5152ca820,371,2081171,177,194,0,1,0,0
sign-07,c790d31cd4a288990f3d692381ed721a06641938a02dfc2e0435b7d323475cef,126,7234845,66,60,0,0,0,0
sign-08,1846cfe63f0cef83e2e0ca21f5dcadce3c4b16da33713957be6d156e2a9e6e95,721,6131408,267,438,292,153,141,0
sign-09,19169e545f6a6fd90b844b0deb72db81b5eb73c136873d1dae113c2c39d1c6e0,256,1810760,175,128,0,128,0,2
sign-10,b3de38fcc2d92ce83290d17cb250dde61f95d3326a49ada36fad3c578f2fc509,374,4691989,108,189,0,0,81,0
sign-11,f31d434ac297ef6a8c454bf9d219f125290749de157df3eb90d29ae3b8a0270a,696,308641907,312,384,0,24,0,0
sign-12,98d57af868fa10d74b2c0656e565aa14a42ff902646d6fc440ffb7355b75342c,1050,33964464,528,522,0,64,0,0
sign-13,814cd3b977ddc0cc59828861c145580473b1a62a66da852b078edbaf689f5a8d,1376,26631076,609,767,0,8,0,0
sign-14,34d863f7df8979c4a5e27fcfe657ed54e81905115c0afc8ef749f50af432f928,1352,31342388,664,776,0,120,40,0
sign-15,c796b106a7d43b2b3d6110ec2be426aa321cc7336f39a2cc027b2d6e8b4cc8c1,180,972814,90,90,0,0,0,0
sign-16,7044d22735d39f902df35dd7d8d77c850cd296c81517e8c19134a2f9d006655a,388,3906792,99,147,156,30,0,0
sign-17,02322c6792259231ab8eb3cc094be32be02a1b9b6b1d7c86b0029c37b0f04d09,202,1075066,91,111,0,111,0,0
sign-18,e34f18832e968681dd0c51ce0d4b29d80e01ad29daa83dfb805718b76fdffa80,114,1266134,56,56,0,0,0,0
sign-19,ec801791976a10baffa852c479afd12362af3b5fb6420104254fb48814d99918,2352,8347398,986,1365,0,1365,10,0
sign-20,2eb8f3ed205eb7c7e8b3108a997b59643d1aa5579035b8093b4ddbe051a48007,161,739775,160,0,0,0,0,0
sign-21,499821538d7f79464cc1ee1468254b0e49f750794a591ffe038938c4cfa11914,1288,12207920,632,744,0,120,40,0
sign-22,7b509d21c6674bc23751b8743cb7c2a4a07ee295fafe04e2fa95c0613160bdfd,776,6664820,384,392,0,8,0,0
sign-23,09253fd33c2215098177991db3375cb94e4e4a73a65b019783edabefa5bd8a62,513,6119331,147,204,183,36,0,0
sign-24,443ab14257658d89a60e14ad0d4b7f4df9fcdd06da4f42fcb29bbbfc75a97153,78,1025076,39,39,0,0,0,0
sign-25,cf635de5eebbdeb7b2212e84f349da4ca878889e0a4a59b463d0c8cdfdb8eeab,1256,17318514,616,640,0,0,0,0
sign-26,98b7e4ffddfe31b5fb0f448345b49228c8d8a7c87078688ba1656b28631448c5,1164,29534548,0,0,0,0,0,0
sign-27,f4afa484e450e2adf4b5f9c867fb199d0d0e22d66a3eafbc8c4738744fb62c58,2605,21892754,1309,1296,0,0,24,0
sign-28,c4ae5b27a188612cd286a786179ce5461e6aca0b8599ba13b8d77b210a940adb,804,7593351,336,468,0,48,0,0
sign-29,84affc1f7cbdeec48a7cb6df3349b5708644672f2ac12140c529e74f6d57ca21,117,1115217,39,39,39,0,0,0
sign-30,4b22f54b07509833b08d32402ffe06d7566e4c87622f9931079e791c80f4765d,540,2433048,270,270,0,0,0,0
sign-31,7ab1effc5fe911c6ab9483ca44a9d9f6d6d911b03eee9f2873b384d97f9aee1d,256,1377900,170,197,0,0,0,0
sign-32,bbfa8dad5ee57083578b50b9937e773e6158f72646e825da3d3265cc00cb1294,126,949892,63,63,0,0,0,0
sign-33,4b7bb0f15388b395b9308ae480f25622105a734f0ab4a6bd16398438c4b9752a,267,1134240,117,6,0,6,0,0
sign-34,1eb45f24ad8f7ff25db923479c6500f273aee8b2470d76339030fed8d96b5b31,346,4975006,169,177,0,9,0,0
kem-01,1c053133175cd189fd9f0e058bde684168f55a6fc3871de2a755404a08990186,621,3440916,153,315,312,159,312,0
kem-02,719c438a30cccd72c9d83da4b5150fee0c55351f2c13e7a66fd61bf653ca5c24,288,1705554,144,144,0,0,0,0
kem-03,2795fd57d3d00791652256362b4a21982116d3aad1fb63633dac923e0e76e05b,144,641476,144,0,0,0,0,0
kem-04,31afe1f2f4e97ad77929d7855c7d9011d69755049d155c09be9339bc99b1d405,376,1653294,188,188,0,0,0,0
kem-05,3a5d97532003786374b68b39779cff4e4938f593fef9596f171652c6ff593917,106,472438,39,67,0,8,0,0
kem-06,612a3fe69c7a28fae7ca87a226d29e67a9cffb6ce9e4cbe54ac9de37f7650d7a,426,3052677,213,231,0,36,0,0
kem-07,2c76bdd4e4df7829bf22fa4949a3c744b9af692425f6f2e5fae5317d41e366ae,426,3057177,213,231,0,36,0,0
kem-08,a1f8a079df7d55576209f45fcf00afd700fc60c0b18d758d572585ccea594ae3,3784,19125595,1191,2585,3365,318,3365,0
kem-09,fc321e46bac9c387535e2053bed560eac3d3cd88ba9bebc154f5bf68dd47dcd1,168,1424907,56,56,56,0,0,0
kem-10,c41e372a55e1dd4aa0e30c6b53d9d7b4f9cd1d7ae431763535e1e61097445e2c,426,3054347,213,231,0,36,0,0
kem-11,8fc838488ac0849d4c6afd161f8b9742c7a8b9a330bc3b79df70ced7e2d1d5e2,270,1370572,119,151,0,4,0,0
kem-12,512caaf5fa04ea5ab51fb5eeee9e81f8c7c7c430b60727130067634bfb674d01,522,13090968,123,141,0,6,0,0
kem-13,862f40ba424253bae7fadbc9c2f54a568b77e0f97fba4728c5fd1e4e826dddc7,1428,8900638,234,870,690,282,690,0
kem-14,ed443d6a9e2e6c50e4956e9b30ce078ae0598a8846962d04b9894cac0816527b,4876,23147171,1497,2018,4023,73,4023,0
kem-15,6c560f434b347fbac8334f55b9ba2838cb1cf885d5aa25e95acb66ed6c6de0fe,424,2410730,102,154,178,28,0,0
kem-16,718bb70eee268550fcef2a82e8eb9879c51ecfdbaefd6bfe2157e7639ffc8557,123,472258,20,26,20,6,25,0
